Quercus robur;39.89;1.79;0.10
Carpinus betulus;0.00;3.00;0.10
Fraxinus excelsior;0.00;0.45;0.10
Acer platanoides;0.06;2.95;0.10
Acer campestre;0.00;1.25;0.10
Malus domestica;0.07;1.60;0.10
Prunus avium;0.00;0.18;0.10
Acer pseudoplatanus;3.90;0.50;None
Taxus baccata;0.00;1.10;None
Pinus sylvestris;0.18;1.53;0.10
Aesculus hippocastanum;0.00;12.00;None
Pinus nigra;0.05;3.83;0.10
Juglans regia;0.00;1.00;0.10
Fagus sylvatica;0.00;21.14;0.10
Prunus domestica;0.00;0.00;None
Betula pendula;0.05;2.63;2.00
Robinia pseudoacacia;16.00;0.50;0.10
Tilia platyphyllos;0.09;7.70;0.10
Tilia cordata;0.00;1.70;0.10
Platanus acerifolia;18.50;0.10;None
Pyrus communis;0.00;0.00;0.10
Populus nigra;70.00;2.30;0.10
Picea abies;1.00;2.10;0.10
Platanus hispanica;18.50;0.10;None
Cedrus atlantica;0.00;1.00;0.10
Celtis australis;0.01;7.60;None
Acer saccharinum;0.10;0.50;None
Ulmus minor;0.10;0.10;0.10
Liquidambar styraciflua;17.00;20.00;None
Prunus cerasifera;0.50;0.48;None
Salix alba;37.20;1.10;0.10
Cupressus sempervirens;0.00;0.70;0.10
Ginkgo biloba;0.60;0.10;None
Quercus rubra;35.00;0.10;0.10
Quercus petraea;45.00;0.30;0.10
Quercus ilex;0.10;43.00;0.10
Quercus cerris;0.10;0.60;0.10
Aesculus carnea;0.00;12.00;None
Alnus glutinosa;0.30;1.10;None
Prunus padus;0.00;0.10;0.10
Betula pubescens;0.00;1.71;4.47
Salix caprea;18.90;0.10;0.10
Populus tremula;60.00;0.00;0.10
Juglans nigra;0.00;1.00;0.10
Populus alba;60.00;0.00;0.10
Fraxinus angustifolia;0.00;0.00;0.10
Acer monspessulanum;0.00;1.50;0.10
Fraxinus ornus;0.00;0.02;0.10
Acer opalus;0.10;1.50;0.10
Pinus pinea;0.00;3.00;0.10
Platanus orientalis;18.5;0.10;0.10